date,patch,prestige,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2020-09-11 23:36:45,7.2.0.108_7201,1,skellige,,Svalblod Ravager,Terror Crew Axe-wielder,Mardroeme,Tuirseach Axeman,Primal Savagery,Crow Clan Druid,An Craite Raiders
2020-09-11 23:33:35,7.2.0.108_7201,1,syndicate,,Arena Ghoul,Slander,Shakedown,Salamandra Assassin,Halfling Safecracker,Oxenfurt Naturalist,Cleaver's Muscle
2020-09-11 23:32:41,7.2.0.108_7201,1,scoia'tael,,Vrihedd Sappers,Dryad Grovekeeper,Dryad Ranger,Panther,Forest Whisperer,Hamadryad,Brokilon Sentinel
2020-09-11 23:31:45,7.2.0.108_7201,1,northern realms,,Kaedweni Revenant,Carroballista,Lyrian Cavalry,Kaedweni Sergeant,Mad Charge,Winch,Cintrian Knight
2020-09-11 23:30:25,7.2.0.108_7201,1,base set,,An Craite Marauder,Rotfiend,Heymaey Skald,Poor Fucking Infantry,Kaedweni Cavalry,Cyclops,Torrential Rain
2020-09-11 23:29:45,7.2.0.108_7201,1,base set,,Kaedweni Knight,Recruit,Pyrotechnician,Forktail,Winch,Golden Froth,Assassination
2020-09-11 23:28:58,7.2.0.108_7201,1,base set,,Kaedweni Knight,Dol Blathanna Sentry,Lyrian Cavalry,Dwarven Mercenary,Blue Stripes Scout,Scoia'tael Neophyte,Mastercrafted Spear
2020-08-16 10:57:51,7.1.0.108_7102,1,syndicate,,Swindle,Firesworn Scribe,Dire Mutated Hound,Passiflora Peaches,Arena Ghoul,Tidecloak Hideaway,Cleric of the Flaming Rose
2020-08-16 10:57:18,7.1.0.108_7102,1,syndicate,,Crownsplitter Thug,Temple Guard,Dip in the Pontar,Mutants Maker,Sewer Raiders,Cleaver's Muscle,Tidecloak Ransackers
2020-08-16 10:56:47,7.1.0.108_7102,1,syndicate,,Temple Guard,Back-Alley Chemist,Sly Seductress,Passiflora Peaches,Witch Hunter Executioner,Tidecloak Hideaway,Smuggle
2020-08-16 10:56:11,7.1.0.108_7102,1,syndicate,,Bloody Good Friends,Cutup Lackey,Arena Endrega,Mutant Killer,Boris,Rico Meiersdorf,Roderick de Wett
2020-08-16 10:55:32,7.1.0.108_7102,1,syndicate,,Oxenfurt Naturalist,Mutant Killer,Fallen Knight,Back-Alley Chemist,Cleric of the Flaming Rose,Witch Hunter Executioner,Fisstech Trafficker
2020-08-16 10:52:29,7.1.0.108_7102,1,syndicate,,Coerced Blacksmith,Payday,Greater Brothers,Halfling Safecracker,Graden,Nathaniel Pastodi,Adalbertus Kalkstein
2020-08-16 10:50:55,7.1.0.108_7102,1,syndicate,,Payroll Specialist,Excommunication,Wretched Addict,Salamandra Assassin,Fisstech Trafficker,Witch Hunter,Eternal Fire Disciple
2020-08-16 10:50:24,7.1.0.108_7102,1,syndicate,,Back-Alley Chemist,Witch Hunter,Fallen Knight,Mutant,Eternal Fire Inquisitor,Keeper of the Flame,Tax Collector
